Secteur;Superficie_depotoir;Longueur_caniveau;Plan_eau;Type_sol;Relief
1;0.0;1013.04125;0.0;1.0;301.7825726
2;0.0;0.0;0.0;1.0;304.9580537
3;190.7;2936.16367;0.0;1.0;299.60237
4;2389.18;0.0;0.0;1.0;309.8024139
5;8969.29;2291.79747;0.0;1.0;309.1962891
6;0.0;3259.77027;0.0;1.0;308.0637049
7;520.47;971.72842;1.0;1.0;306.6221514
8;18893.0;0.0;0.0;1.0;301.1831984
9;2707.0;893.68408;1.0;1.0;295.8150239
10;3711.75;3469.84797;1.0;1.0;292.955414
11;1885.0;6182.96261;1.0;1.0;297.0554286
12;378.39;2494.8882;1.0;1.0;305.1559172
13;72596.29;4038.11951;1.0;1.0;303.450234
14;228782.64;7214.00531;1.0;1.0;298.7824724
15;452096.35;5926.56667;1.0;1.0;301.4359328
16;4400.69;2659.79685;1.0;0.0;299.5703204
17;496467.73;5975.31002;1.0;1.0;298.151666
18;1358.52;6410.61454;1.0;1.0;292.2931034
19;9501.35;6330.5512;1.0;0.0;298.7743342
20;0.0;9938.34907;1.0;0.0;298.2240399
21;5990.0;7967.86901;1.0;1.0;290.7780917
22;945.0;3940.40897;1.0;1.0;295.1871808
23;3774.56;4588.89374;0.0;1.0;302.0745398
24;3395.26;1077.92579;0.0;1.0;313.3848565
25;11134.83;1611.56873;0.0;1.0;318.8876453
26;160.16;0.0;0.0;1.0;318.4282853
27;4535.42;4517.02185;1.0;1.0;310.390327
28;86590.67;1747.86993;1.0;1.0;322.505505
29;8070.32;0.0;0.0;1.0;326.9132258
30;1563.81;4065.57659;1.0;1.0;318.2757357
31;0.0;2193.36532;1.0;1.0;317.512807
32;10102.61;4499.12727;1.0;1.0;322.2433203
33;15018.43;4722.09484;1.0;1.0;322.6380133
34;17157.5;0.0;0.0;1.0;320.4850242
35;84193.64;10284.81197;1.0;1.0;307.2520261
36;4588.58;5202.54866;1.0;1.0;315.9370516
37;71215.93;1365.4269;1.0;1.0;317.6637515
38;159650.0;6423.17577;1.0;1.0;306.7481126
39;6944.81;386.50067;1.0;0.0;309.6346684
40;5224.28;10114.58771;1.0;0.0;301.5263137
41;4715.49;5778.65377;1.0;1.0;288.5496977
42;805498.27;4484.30464;1.0;1.0;290.0657351
43;72315.0;2151.1107;0.0;1.0;300.9176885
44;710.0;0.0;0.0;1.0;309.7503632
45;30019.0;0.0;0.0;1.0;312.357886
46;18576.19;0.0;0.0;1.0;310.7553933
47;39629.0;2205.50756;1.0;1.0;298.7506799
48;32367.0;4296.73501;1.0;1.0;300.8759822
49;47253.29;11007.10568;1.0;1.0;302.497201
50;345143.53;5606.91565;1.0;1.0;304.4800737
51;19550.44;0.0;0.0;1.0;314.116451
52;2427.48;1626.7504;1.0;1.0;312.8777398
53;1057978.0;5305.84278;1.0;1.0;306.497389
54;420117.98;2879.86015;0.0;1.0;318.4403226
55;19795.0;5281.73015;0.0;0.0;314.4788452
